热点日期,领域名称,股票代码,股票名称,股票得分,买入理由,买入建议,创建时间
2026-02-13,军工装备,sh.601890,亚星锚链,,,,2026-02-13 17:29:19
2026-02-13,军工装备,sz.300719,安达维尔,,,,2026-02-13 17:29:19
2026-02-13,军工装备,sh.688563,航材股份,,,,2026-02-13 17:29:19
2026-02-13,军工装备,sz.300065,海兰信,,,,2026-02-13 17:29:19
2026-02-13,军工装备,sz.300589,江龙船艇,,,,2026-02-13 17:29:19
2026-02-13,军工装备,sh.600118,中国卫星,,,,2026-02-13 17:29:19
2026-02-13,半导体设备,sh.688409,富创精密,,,,2026-02-13 17:29:19
2026-02-13,半导体设备,sh.688702,盛科通信-U,,,,2026-02-13 17:29:19
2026-02-13,半导体设备,sh.688012,中微公司,,,,2026-02-13 17:29:19
2026-02-13,半导体设备,sz.002371,北方华创,,,,2026-02-13 17:29:19
2026-02-13,半导体设备,sh.688082,盛美上海,,,,2026-02-13 17:29:19
2026-02-13,半导体设备,sh.688072,拓荆科技,,,,2026-02-13 17:29:19
2026-02-13,存储芯片,sh.688525,佰维存储,,,,2026-02-13 17:29:19
2026-02-13,存储芯片,sh.688110,东芯股份,,,,2026-02-13 17:29:19
2026-02-13,存储芯片,sz.300223,北京君正,,,,2026-02-13 17:29:19
2026-02-13,存储芯片,sh.688008,澜起科技,,,,2026-02-13 17:29:19
2026-02-13,存储芯片,sh.603986,兆易创新,,,,2026-02-13 17:29:19
2026-02-13,存储芯片,sh.688766,普冉股份,,,,2026-02-13 17:29:19
2026-02-13,影视院线,sz.300251,光线传媒,,,,2026-02-13 17:29:19
2026-02-13,影视院线,sz.300182,捷成股份,,,,2026-02-13 17:29:19
2026-02-13,影视院线,sh.600977,中国电影,,,,2026-02-13 17:29:19
2026-02-13,影视院线,sh.603103,横店影视,,,,2026-02-13 17:29:19
2026-02-13,影视院线,sz.001330,博纳影业,,,,2026-02-13 17:29:19
2026-02-13,影视院线,sh.600088,中视传媒,,,,2026-02-13 17:29:19
2026-02-13,商业航天,sh.600118,中国卫星,,,,2026-02-13 17:29:19
2026-02-13,商业航天,sh.601698,中国卫通,,,,2026-02-13 17:29:19
2026-02-13,商业航天,sh.688270,臻镭科技,,,,2026-02-13 17:29:19
2026-02-13,商业航天,sz.300342,天银机电,,,,2026-02-13 17:29:19
2026-02-13,商业航天,sh.688523,航天环宇,,,,2026-02-13 17:29:19
2026-02-13,商业航天,sz.300045,华力创通,,,,2026-02-13 17:29:19
2026-02-13,智能座舱,sz.002920,德赛西威,,,,2026-02-13 17:29:19
2026-02-13,智能座舱,sh.688326,经纬恒润,,,,2026-02-13 17:29:19
2026-02-13,智能座舱,sz.300496,中科创达,,,,2026-02-13 17:29:19
2026-02-13,智能座舱,sh.688208,道通科技,,,,2026-02-13 17:29:19
2026-02-13,智能座舱,sz.002906,华阳集团,,,,2026-02-13 17:29:19
2026-02-13,智能座舱,sh.688787,海天瑞声,,,,2026-02-13 17:29:19
2026-02-13,造纸,sh.605007,五洲特纸,,,,2026-02-13 17:29:19
2026-02-13,造纸,sz.301469,恒达新材,,,,2026-02-13 17:29:19
2026-02-13,造纸,sh.600966,博汇纸业,,,,2026-02-13 17:29:19
2026-02-13,造纸,sh.600567,山鹰国际,,,,2026-02-13 17:29:19
2026-02-13,造纸,sz.002078,太阳纸业,,,,2026-02-13 17:29:19
2026-02-13,造纸,sh.600308,华泰股份,,,,2026-02-13 17:29:19
2026-02-13,液冷服务器,sh.688158,优刻得-W,,,,2026-02-13 17:29:19
2026-02-13,液冷服务器,sz.301018,申菱环境,,,,2026-02-13 17:29:19
2026-02-13,液冷服务器,bj.832662,方盛股份,,,,2026-02-13 17:29:19
2026-02-13,液冷服务器,sz.300249,依米康,,,,2026-02-13 17:29:19
2026-02-13,液冷服务器,sz.002131,利欧股份,,,,2026-02-13 17:29:19
2026-02-13,液冷服务器,sz.002272,川润股份,,,,2026-02-13 17:29:19
2026-02-13,冰雪旅游,sh.600706,曲江文旅,,,,2026-02-13 17:29:19
2026-02-13,冰雪旅游,sh.600138,中青旅,,,,2026-02-13 17:29:19
2026-02-13,冰雪旅游,sz.002159,三特索道,,,,2026-02-13 17:29:19
2026-02-13,冰雪旅游,sh.600054,黄山旅游,,,,2026-02-13 17:29:19
2026-02-13,冰雪旅游,sz.300144,宋城演艺,,,,2026-02-13 17:29:19
2026-02-13,冰雪旅游,sh.600258,首旅酒店,,,,2026-02-13 17:29:19
2026-02-13,机器人,sz.002896,中大力德,,,,2026-02-13 17:29:19
2026-02-13,机器人,sh.603728,鸣志电器,,,,2026-02-13 17:29:19
2026-02-13,机器人,sz.300124,汇川技术,,,,2026-02-13 17:29:19
2026-02-13,机器人,sh.688017,绿的谐波,,,,2026-02-13 17:29:19
2026-02-13,机器人,sz.002050,三花智控,,,,2026-02-13 17:29:19
2026-02-13,机器人,sh.688160,步科股份,,,,2026-02-13 17:29:19
