股票代码,股票名称,分类标签
920002,万达轴承,自选股
920021,流金科技,自选股
920068,天工股份,自选股
920077,吉林碳谷,自选股
920179,凯德石英,自选股
920263,中航泰达,自选股
920371,欧福蛋业,自选股
920402,硅烷科技,自选股
920403,康农种业,自选股
920489,佳先股份,自选股
920522,纳科诺尔,自选股
920526,凯华材料,自选股
920639,晨光电缆,自选股
920706,铁拓机械,自选股
920770,艾能聚,自选股
920834,三维装备,自选股
920876,慧为智能,自选股
920981,晶赛科技,自选股
00291,华润啤酒,自选股
00941,中国移动,自选股
00981,中芯国际,自选股
01359,中国信达,自选股
01519,极兔速递-W,自选股
01788,国泰君安国际,自选股
01799,新特能源,自选股
01810,小米集团-W,自选股
01896,猫眼娱乐,自选股
01910,新秀丽,自选股
02357,中航科工,自选股
02382,舜宇光学科技,自选股
02507,西锐,自选股
03800,协鑫科技,自选股
06603,IFBH,自选股
09660,地平线机器人-W,自选股
09863,零跑汽车,自选股
09868,小鹏集团-W,自选股
SH511880,银华日利ETF,自选股
SH513180,恒生科技ETF华夏,自选股
SH561100,消费电子ETF富国,自选股
SH600023,浙能电力,自选股
SH600026,中远海能,自选股
SH600031,三一重工,自选股
SH600036,招商银行,自选股
SH600050,中国联通,自选股
SH600053,九鼎投资,自选股
SH600060,海信视像,自选股
SH600062,华润双鹤,自选股
SH600088,中视传媒,自选股
SH600089,特变电工,自选股
SH600095,湘财股份,自选股
SH600101,明星电力,自选股
SH600105,永鼎股份,自选股
SH600120,浙江东方,自选股
SH600123,兰花科创,自选股
SH600126,杭钢股份,自选股
SH600132,重庆啤酒,自选股
SH600150,中国船舶,自选股
SH600152,维科技术,自选股
SH600157,永泰能源,自选股
SH600167,联美控股,自选股
SH600172,黄河旋风,自选股
SH600184,光电股份,自选股
SH600185,珠免集团,自选股
SH600189,泉阳泉,自选股
SH600192,长城电工,自选股
SH600199,金种子酒,自选股
SH600219,南山铝业,自选股
SH600227,赤天化,自选股
SH600246,万通发展,自选股
SH600251,冠农股份,自选股
SH600259,中稀有色,自选股
SH600262,北方股份,自选股
SH600266,城建发展,自选股
SH600299,安迪苏,自选股
SH600301,华锡有色,自选股
SH600303,曙光股份,自选股
SH600305,恒顺醋业,自选股
SH600309,万华化学,自选股
SH600315,上海家化,自选股
SH600320,振华重工,自选股
SH600345,长江通信,自选股
SH600346,恒力石化,自选股
SH600348,华阳股份,自选股
SH600352,浙江龙盛,自选股
SH600363,联创光电,自选股
SH600366,宁波韵升,自选股
SH600392,盛和资源,自选股
SH600399,抚顺特钢,自选股
SH600416,湘电股份,自选股
SH600426,华鲁恒升,自选股
SH600435,北方导航,自选股
SH600438,通威股份,自选股
SH600439,瑞贝卡,自选股
SH600446,金证股份,自选股
SH600459,贵研铂业,自选股
SH600468,百利电气,自选股
SH600470,六国化工,自选股
SH600477,杭萧钢构,自选股
SH600478,科力远,自选股
SH600481,双良节能,自选股
SH600483,福能股份,自选股
SH600496,精工钢构,自选股
SH600497,驰宏锌锗,自选股
SH600498,烽火通信,自选股
SH600501,航天晨光,自选股
SH600507,方大特钢,自选股
SH600513,联环药业,自选股
SH600515,海南机场,自选股
SH600522,中天科技,自选股
SH600531,豫光金铅,自选股
SH600540,新赛股份,自选股
SH600545,卓郎智能,自选股
SH600546,山煤国际,自选股
SH600550,保变电气,自选股
SH600563,法拉电子,自选股
SH600578,京能电力,自选股
SH600580,卧龙电驱,自选股
SH600583,海油工程,自选股
SH600587,新华医疗,自选股
SH600589,大位科技,自选股
SH600590,泰豪科技,自选股
SH600592,龙溪股份,自选股
SH600596,新安股份,自选股
SH600597,光明乳业,自选股
SH600600,青岛啤酒,自选股
SH600602,云赛智联,自选股
SH600604,市北高新,自选股
SH600609,金杯汽车,自选股
SH600619,海立股份,自选股
SH600629,华建集团,自选股
SH600637,东方明珠,自选股
SH600643,爱建集团,自选股
SH600661,昂立教育,自选股
SH600664,哈药股份,自选股
SH600678,四川金顶,自选股
SH600682,南京新百,自选股
SH600691,潞化科技,自选股
SH600693,东百集团,自选股
SH600730,中国高科,自选股
